tag,patterns,responses
LASALLIAN_PEER_FACILITATORS,What role do Lasallian Peer Facilitators play at the Student Wellness Center (SWC) at DLSU-D?,"Lasallian Peer Facilitators at the SWC DLSU-D serve as a link between guidance counselors and students. They refer students who need in-depth counseling and/or consultation. Additionally, they assist in actualizing various SWC-related activities such as facilitating and organizing seminars, reaching out to students-at-risk, and conducting outreach program activities."
LASALLIAN_PEER_FACILITATORS,Can you explain the responsibilities of Lasallian Peer Facilitators at the SWC DLSU-D?,"Lasallian Peer Facilitators at the SWC DLSU-D serve as a link between guidance counselors and students. They refer students who need in-depth counseling and/or consultation. Additionally, they assist in actualizing various SWC-related activities such as facilitating and organizing seminars, reaching out to students-at-risk, and conducting outreach program activities."
LASALLIAN_PEER_FACILITATORS,What is the LPFA?,"Lasallian Peer Facilitators at the SWC DLSU-D serve as a link between guidance counselors and students. They refer students who need in-depth counseling and/or consultation. Additionally, they assist in actualizing various SWC-related activities such as facilitating and organizing seminars, reaching out to students-at-risk, and conducting outreach program activities."
GUIDANCE_COUNSELOR_PARENT_CONFERENCE,What happens during a parent-counselor conference conducted by a guidance counselor at the Student Wellness Center (SWC) at DLSU-D?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts a parent-counselor conference to seek parental consent for the student to undergo counseling intervention."
GUIDANCE_COUNSELOR_PARENT_CONFERENCE,Can you explain the process of seeking parental consent for counseling intervention at the SWC DLSU-D?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts a parent-counselor conference to seek parental consent for the student to undergo counseling intervention."
GUIDANCE_COUNSELOR_PARENT_CONFERENCE,Are there any conference for parents and guidance counselors?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts a parent-counselor conference to seek parental consent for the student to undergo counseling intervention."
STUDENT_REFERRAL_SPECIALIST_SWC,What happens if a student is referred to a specialist at the Student Wellness Center (SWC) at DLSU-D?,"If needed, when a student is referred to a specialist at the Student Wellness Center (SWC) DLSU-D, the student undergoes psychological, psychiatric assessment, psychotherapy, and/or pharmacological intervention. The student then submits relevant documents to the SWC counselor handling the case."
STUDENT_REFERRAL_SPECIALIST_SWC,"Can you explain the process when a student is referred to a specialist for psychological, psychiatric assessment, psychotherapy, and/or pharmacological intervention at the SWC DLSU-D?","If needed, when a student is referred to a specialist at the Student Wellness Center (SWC) DLSU-D, the student undergoes psychological, psychiatric assessment, psychotherapy, and/or pharmacological intervention. The student then submits relevant documents to the SWC counselor handling the case."
STUDENT_REFERRAL_SPECIALIST_SWC,Can a student be reffered to a specialist for mental health?,"If needed, when a student is referred to a specialist at the Student Wellness Center (SWC) DLSU-D, the student undergoes psychological, psychiatric assessment, psychotherapy, and/or pharmacological intervention. The student then submits relevant documents to the SWC counselor handling the case."
GUIDANCE_COUNSELOR_FOLLOW_UP_SESSIONS,What happens during follow-up sessions conducted by a guidance counselor at the Student Wellness Center (SWC) at DLSU-D?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts follow-up sessions with the student until the counselor-client relationship is terminated."
GUIDANCE_COUNSELOR_FOLLOW_UP_SESSIONS,Can you explain the purpose of follow-up sessions with the student at the SWC DLSU-D?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts follow-up sessions with the student until the counselor-client relationship is terminated."
GUIDANCE_COUNSELOR_FOLLOW_UP_SESSIONS,Are there any guidance counselor at dlsud?,"At the Student Wellness Center (SWC) DLSU-D, a guidance counselor conducts follow-up sessions with the student until the counselor-client relationship is terminated."
NSTP_COMPONENTS,What are the components of the NSTP courses at DLSU-D?,The NSTP courses at DLSU-D have two program components: CWTS (Civic Welfare Training Service) and ROTC (Reserved Officers' Training Corps).
NSTP_COMPONENTS,Can you explain the two program components of NSTP at DLSU-D?,The NSTP courses at DLSU-D have two program components: CWTS (Civic Welfare Training Service) and ROTC (Reserved Officers' Training Corps).
NSTP_COMPONENTS,What are the subjects or programs under NSTP?,The NSTP courses at DLSU-D have two program components: CWTS (Civic Welfare Training Service) and ROTC (Reserved Officers' Training Corps).
